gene_id	n_reads	n_amb	gid	gname	overlapped	rescue_frac
ENSG00000011007	77442	0.0	ENSG00000011007	ELOA	False	0.0
ENSG00000011009	51374	0.0	ENSG00000011009	LYPLA2	False	0.0
ENSG00000011021	55570	0.0	ENSG00000011021	CLCN6	False	0.0
ENSG00000011028	29904	0.0	ENSG00000011028	MRC2	False	0.0
ENSG00000011083	732	0.0	ENSG00000011083	SLC6A7	False	0.0
ENSG00000011105	18739	0.0	ENSG00000011105	TSPAN9	True	0.0
ENSG00000011114	79563	0.0	ENSG00000011114	BTBD7	False	0.0
ENSG00000011132	18654	215.0	ENSG00000011132	APBA3	True	0.011525678138737
ENSG00000011143	18812	83.0	ENSG00000011143	MKS1	False	0.0044120773974059115
ENSG00000011198	88917	0.0	ENSG00000011198	ABHD5	False	0.0
ENSG00000011201	5442	0.0	ENSG00000011201	ANOS1	False	0.0
ENSG00000011243	105570	0.0	ENSG00000011243	AKAP8L	False	0.0
ENSG00000011258	62210	10.0	ENSG00000011258	MBTD1	True	0.00016074586079408456
ENSG00000011260	164326	4.0	ENSG00000011260	UTP18	False	2.43418570402736e-05
ENSG00000011275	155978	53.0	ENSG00000011275	RNF216	True	0.0003397915090589699
ENSG00000011295	128584	9.0	ENSG00000011295	TTC19	True	6.999315622472469e-05
ENSG00000011304	185902	0.0	ENSG00000011304	PTBP1	False	0.0
ENSG00000011332	8492	0.0	ENSG00000011332	DPF1	False	0.0
ENSG00000011347	6240	14.0	ENSG00000011347	SYT7	True	0.0022435897435897434
ENSG00000011376	45035	0.0	ENSG00000011376	LARS2	False	0.0
ENSG00000011405	164694	0.0	ENSG00000011405	PIK3C2A	False	0.0
ENSG00000011422	104032	0.0	ENSG00000011422	PLAUR	False	0.0
ENSG00000011426	121947	0.0	ENSG00000011426	ANLN	False	0.0
ENSG00000011451	32832	0.0	ENSG00000011451	WIZ	False	0.0
ENSG00000011454	156991	109.0	ENSG00000011454	RABGAP1	True	0.0006943073169799542
ENSG00000011465	170361	0.0	ENSG00000011465	DCN	False	0.0
ENSG00000011478	9552	0.0	ENSG00000011478	QPCTL	False	0.0
ENSG00000011485	67739	0.0	ENSG00000011485	PPP5C	False	0.0
ENSG00000011523	55551	0.0	ENSG00000011523	CEP68	False	0.0
ENSG00000011566	64932	19.0	ENSG00000011566	MAP4K3	True	0.00029261381137189675
ENSG00000011590	4076	0.0	ENSG00000011590	ZBTB32	False	0.0
ENSG00000011600	725465	0.0	ENSG00000011600	TYROBP	False	0.0
ENSG00000011638	29447	0.0	ENSG00000011638	LDAF1	False	0.0
ENSG00000011677	1153	0.0	ENSG00000011677	GABRA3	False	0.0
ENSG00000012048	81812	33.0	ENSG00000012048	BRCA1	True	0.00040336380971006696
ENSG00000012061	149516	0.0	ENSG00000012061	ERCC1	False	0.0
ENSG00000012124	52243	1327.0	ENSG00000012124	CD22	True	0.025400532128706237
ENSG00000012171	14449	0.0	ENSG00000012171	SEMA3B	False	0.0
ENSG00000012174	29151	459.0	ENSG00000012174	MBTPS2	True	0.015745600493979623
ENSG00000012211	10465	0.0	ENSG00000012211	PRICKLE3	False	0.0
ENSG00000012223	133481	0.0	ENSG00000012223	LTF	False	0.0
ENSG00000012232	47716	0.0	ENSG00000012232	EXTL3	False	0.0
ENSG00000012504	3439	0.0	ENSG00000012504	NR1H4	False	0.0
ENSG00000012660	130920	0.0	ENSG00000012660	ELOVL5	False	0.0
ENSG00000012779	62455	0.0	ENSG00000012779	ALOX5	False	0.0
ENSG00000012817	69044	0.0	ENSG00000012817	KDM5D	False	0.0
ENSG00000012822	92836	0.0	ENSG00000012822	CALCOCO1	False	0.0
ENSG00000012963	54734	0.0	ENSG00000012963	UBR7	False	0.0
ENSG00000012983	173182	0.0	ENSG00000012983	MAP4K5	False	0.0
ENSG00000013016	8905	0.0	ENSG00000013016	EHD3	False	0.0
ENSG00000013275	170522	0.0	ENSG00000013275	PSMC4	False	0.0
ENSG00000013288	41626	0.0	ENSG00000013288	MAN2B2	False	0.0
ENSG00000013293	1705	0.0	ENSG00000013293	SLC7A14	False	0.0
ENSG00000013297	7866	1.0	ENSG00000013297	CLDN11	True	0.0001271294177472667
ENSG00000013306	161293	0.0	ENSG00000013306	SLC25A39	False	0.0
ENSG00000013364	71909	0.0	ENSG00000013364	MVP	True	0.0
ENSG00000013374	205761	0.0	ENSG00000013374	NUB1	False	0.0
ENSG00000013375	75710	0.0	ENSG00000013375	PGM3	False	0.0
ENSG00000013392	10751	0.0	ENSG00000013392	RWDD2A	False	0.0
ENSG00000013441	354809	0.0	ENSG00000013441	CLK1	False	0.0
ENSG00000013503	25757	0.0	ENSG00000013503	POLR3B	False	0.0
ENSG00000013523	19301	5301.0	ENSG00000013523	ANGEL1	True	0.27464898191803533
ENSG00000013561	51397	0.0	ENSG00000013561	RNF14	False	0.0
ENSG00000013563	26993	0.0	ENSG00000013563	DNASE1L1	False	0.0
ENSG00000013573	47103	0.0	ENSG00000013573	DDX11	False	0.0
ENSG00000013583	85036	0.0	ENSG00000013583	HEBP1	False	0.0
ENSG00000013588	39075	0.0	ENSG00000013588	GPRC5A	False	0.0
ENSG00000013619	4106	0.0	ENSG00000013619	MAMLD1	False	0.0
ENSG00000013725	51041	0.0	ENSG00000013725	CD6	False	0.0
ENSG00000013810	130592	0.0	ENSG00000013810	TACC3	False	0.0
ENSG00000014123	151876	0.0	ENSG00000014123	UFL1	False	0.0
ENSG00000014138	45398	0.0	ENSG00000014138	POLA2	False	0.0
