release	srr	gse	species	platform	ena_assay	biology_group	description	pipeline	isoquant_status	isoquant_cells	isoquant_cells_method	isoquant_transcripts	annotation_status	annotation_method	metadata_resolution
scTHREAD_NAR_release_20260803	SRR16248599	GSE185554	mouse	ONT	scONT-plate	Developmental atlas	Arterial and hemogenic endothelial cells during embryonic hematopoiesis	EXCLUDE	done	1	smartseq2_one_well		annotated	computational_v2	
scTHREAD_NAR_release_20260803	SRR16248601	GSE185554	mouse	ONT	scONT-plate	Developmental atlas	Arterial and hemogenic endothelial cells during embryonic hematopoiesis	EXCLUDE	done	1	smartseq2_one_well		annotated	computational_v2	
scTHREAD_NAR_release_20260803	SRR16248602	GSE185554	mouse	ONT	scONT-plate	Developmental atlas	Arterial and hemogenic endothelial cells during embryonic hematopoiesis	EXCLUDE	done	1	smartseq2_one_well		annotated	computational_v2	
scTHREAD_NAR_release_20260803	SRR16248603	GSE185554	mouse	ONT	scONT-plate	Developmental atlas	Arterial and hemogenic endothelial cells during embryonic hematopoiesis	EXCLUDE	done	1	smartseq2_one_well		annotated	computational_v2	
scTHREAD_NAR_release_20260803	SRR16248606	GSE185554	mouse	ONT	scONT-plate	Developmental atlas	Arterial and hemogenic endothelial cells during embryonic hematopoiesis	EXCLUDE	done	1	smartseq2_one_well		annotated	computational_v2	
scTHREAD_NAR_release_20260803	SRR16248607	GSE185554	mouse	ONT	scONT-plate	Developmental atlas	Arterial and hemogenic endothelial cells during embryonic hematopoiesis	EXCLUDE	done	1	smartseq2_one_well		annotated	computational_v2	
scTHREAD_NAR_release_20260803	SRR16248608	GSE185554	mouse	ONT	scONT-plate	Developmental atlas	Arterial and hemogenic endothelial cells during embryonic hematopoiesis	EXCLUDE	done	1	smartseq2_one_well		annotated	computational_v2	
scTHREAD_NAR_release_20260803	SRR16248609	GSE185554	mouse	ONT	scONT-plate	Developmental atlas	Arterial and hemogenic endothelial cells during embryonic hematopoiesis	EXCLUDE	done	1	smartseq2_one_well		annotated	computational_v2	
scTHREAD_NAR_release_20260803	SRR16248610	GSE185554	mouse	ONT	scONT-plate	Developmental atlas	Arterial and hemogenic endothelial cells during embryonic hematopoiesis	EXCLUDE	done	1	smartseq2_one_well		annotated	computational_v2	
scTHREAD_NAR_release_20260803	SRR16248611	GSE185554	mouse	ONT	scONT-plate	Developmental atlas	Arterial and hemogenic endothelial cells during embryonic hematopoiesis	EXCLUDE	done	1	smartseq2_one_well		annotated	computational_v2	
scTHREAD_NAR_release_20260803	SRR16248612	GSE185554	mouse	ONT	scONT-plate	Developmental atlas	Arterial and hemogenic endothelial cells during embryonic hematopoiesis	EXCLUDE	done	1	smartseq2_one_well		annotated	computational_v2	
scTHREAD_NAR_release_20260803	SRR16248613	GSE185554	mouse	ONT	scONT-plate	Developmental atlas	Arterial and hemogenic endothelial cells during embryonic hematopoiesis	EXCLUDE	done	1	smartseq2_one_well		annotated	computational_v2	
scTHREAD_NAR_release_20260803	SRR21492154	GSE212945	human	ONT	scONT	Tumor and cell-line atlas	Melanoma and renal-cell carcinoma nuclei plus A375 and H2030 cell lines	wf-single-cell	done	6603	wf_tagged_barcodes	51834	annotated	computational_v2	
scTHREAD_NAR_release_20260803	SRR21492155	GSE212945	human	ONT	scONT	Tumor and cell-line atlas	Melanoma and renal-cell carcinoma nuclei plus A375 and H2030 cell lines	wf-single-cell	done	8429	wf_tagged_barcodes	52177	annotated	computational_v2	
scTHREAD_NAR_release_20260803	SRR21492156	GSE212945	human	ONT	scONT	Tumor and cell-line atlas	Melanoma and renal-cell carcinoma nuclei plus A375 and H2030 cell lines	wf-single-cell	done	3690	wf_tagged_barcodes	50813	annotated	computational_v2	
scTHREAD_NAR_release_20260803	SRR21492157	GSE212945	human	ONT	scONT	Tumor and cell-line atlas	Melanoma and renal-cell carcinoma nuclei plus A375 and H2030 cell lines	wf-single-cell	done	3587	wf_tagged_barcodes	41320	annotated	computational_v2	
scTHREAD_NAR_release_20260803	SRR34318914	GSE212945	human	ONT	scONT	Tumor and cell-line atlas	Melanoma and renal-cell carcinoma nuclei plus A375 and H2030 cell lines	wf-single-cell	done	3672	wf_tagged_barcodes	49600	annotated	computational_v2	
scTHREAD_NAR_release_20260803	SRR34318915	GSE212945	human	ONT	scONT	Tumor and cell-line atlas	Melanoma and renal-cell carcinoma nuclei plus A375 and H2030 cell lines	wf-single-cell	done	4059	wf_tagged_barcodes	28873	annotated	computational_v2	
scTHREAD_NAR_release_20260803	SRR21714350	GSE214231	human	PacBio	scPacBio	Cell therapy	Long-read profiling of engineered CAR T-cell constructs and states	unclassified	done	0	min_genes>=200	868	annotated	computational_v2	
scTHREAD_NAR_release_20260803	SRR21714351	GSE214231	human	PacBio	scPacBio	Cell therapy	Long-read profiling of engineered CAR T-cell constructs and states	unclassified	done	0	min_genes>=200	810	annotated	computational_v2	
scTHREAD_NAR_release_20260803	SRR21714352	GSE214231	human	PacBio	scPacBio	Cell therapy	Long-read profiling of engineered CAR T-cell constructs and states	unclassified	done	0	min_genes>=200	631	annotated	computational_v2	
