gene	pval	effect	n_pas	qval	sig
ENSG00000156508	0.000999000999000999	0.0541135430205082	38	0.0034784714626611857	False
ENSG00000156515	0.000999000999000999	0.36364806816718753	30	0.0034784714626611857	True
ENSG00000019582	0.000999000999000999	0.058846450864867214	15	0.0034784714626611857	False
ENSG00000019995	0.000999000999000999	0.5074894103799	39	0.0034784714626611857	True
ENSG00000015676	0.000999000999000999	0.3360268380373151	17	0.0034784714626611857	True
ENSG00000016864	0.000999000999000999	0.19778443634916887	8	0.0034784714626611857	False
ENSG00000156052	0.000999000999000999	0.27345938375350143	29	0.0034784714626611857	True
ENSG00000156110	0.000999000999000999	0.39381016644174544	53	0.0034784714626611857	True
ENSG00000161970	0.000999000999000999	0.04092386516386794	12	0.0034784714626611857	False
ENSG00000162032	0.000999000999000999	0.101112293231168	5	0.0034784714626611857	False
ENSG00000155975	0.000999000999000999	0.448062015503876	38	0.0034784714626611857	True
ENSG00000161888	0.000999000999000999	0.3627564847077043	13	0.0034784714626611857	True
ENSG00000161929	0.000999000999000999	0.38825952071710734	22	0.0034784714626611857	True
ENSG00000161960	0.000999000999000999	0.2698406452882156	28	0.0034784714626611857	True
ENSG00000156471	0.000999000999000999	0.16326530612244897	26	0.0034784714626611857	False
ENSG00000161011	0.000999000999000999	0.12345944396675265	44	0.0034784714626611857	False
ENSG00000161016	0.000999000999000999	0.016662155503651434	11	0.0034784714626611857	False
ENSG00000156273	0.000999000999000999	0.40193691673607107	39	0.0034784714626611857	True
ENSG00000162129	0.000999000999000999	0.47468162522741053	36	0.0034784714626611857	True
ENSG00000162144	0.000999000999000999	0.1098398169336384	10	0.0034784714626611857	False
ENSG00000162174	0.000999000999000999	0.5067567567567568	7	0.0034784714626611857	True
ENSG00000156017	0.000999000999000999	0.3962915601023018	26	0.0034784714626611857	True
ENSG00000276234	0.000999000999000999	0.5035919540229885	24	0.0034784714626611857	True
ENSG00000275023	0.000999000999000999	0.14573539079074493	15	0.0034784714626611857	False
ENSG00000275052	0.000999000999000999	0.44117720258835236	57	0.0034784714626611857	True
ENSG00000021355	0.000999000999000999	0.12664227938164957	26	0.0034784714626611857	False
ENSG00000021762	0.000999000999000999	0.3765999343616673	12	0.0034784714626611857	True
ENSG00000021776	0.000999000999000999	0.3913259971119852	33	0.0034784714626611857	True
ENSG00000276007	0.000999000999000999	0.15141242937853103	4	0.0034784714626611857	False
ENSG00000026508	0.000999000999000999	0.2654487620881498	67	0.0034784714626611857	True
ENSG00000023734	0.000999000999000999	0.24933549866311766	16	0.0034784714626611857	True
