gene	pval	effect	n_iso	qval	sig
ENSG00000029363	0.000999000999000999	0.2912064516875513	24	0.004933419521654815	True
ENSG00000031698	0.000999000999000999	0.14196877080433332	6	0.004933419521654815	False
ENSG00000033178	0.000999000999000999	0.3060656676229302	5	0.004933419521654815	True
ENSG00000034713	0.000999000999000999	0.029855095867752594	5	0.004933419521654815	False
ENSG00000035115	0.000999000999000999	0.8735119047619047	18	0.004933419521654815	True
ENSG00000163832	0.000999000999000999	0.15188583078491336	8	0.004933419521654815	False
ENSG00000122481	0.000999000999000999	0.4952890247007894	7	0.004933419521654815	True
ENSG00000125347	0.000999000999000999	0.2838384325144749	20	0.004933419521654815	True
ENSG00000125354	0.000999000999000999	0.17968103913064956	9	0.004933419521654815	False
ENSG00000125445	0.000999000999000999	0.2233557172948913	6	0.004933419521654815	True
ENSG00000187051	0.000999000999000999	0.012658313648661094	6	0.004933419521654815	False
ENSG00000187109	0.000999000999000999	0.16561558800613638	26	0.004933419521654815	False
ENSG00000187118	0.000999000999000999	0.3186011678558652	11	0.004933419521654815	True
ENSG00000026508	0.000999000999000999	0.6124188311688311	26	0.004933419521654815	True
ENSG00000122034	0.000999000999000999	0.41912071846282367	8	0.004933419521654815	True
ENSG00000122085	0.000999000999000999	0.31746165610842875	18	0.004933419521654815	True
ENSG00000122218	0.000999000999000999	0.26539696554043757	26	0.004933419521654815	True
ENSG00000122224	0.000999000999000999	0.6179741471250159	11	0.004933419521654815	True
ENSG00000122257	0.000999000999000999	0.36131323348772926	13	0.004933419521654815	True
ENSG00000122390	0.000999000999000999	0.7363157894736843	30	0.004933419521654815	True
ENSG00000122406	0.000999000999000999	0.02461213132011363	10	0.004933419521654815	False
ENSG00000122417	0.000999000999000999	0.43939393939393934	31	0.004933419521654815	True
ENSG00000125868	0.000999000999000999	0.1927835409221802	2	0.004933419521654815	False
ENSG00000125871	0.000999000999000999	0.49200000000000005	5	0.004933419521654815	True
ENSG00000121774	0.000999000999000999	0.36662029791920253	4	0.004933419521654815	True
ENSG00000121892	0.000999000999000999	0.12409226741418525	8	0.004933419521654815	False
ENSG00000121931	0.000999000999000999	0.2915001223590831	3	0.004933419521654815	True
ENSG00000122008	0.000999000999000999	0.2787388987566607	14	0.004933419521654815	True
ENSG00000122026	0.000999000999000999	0.1811639052618126	10	0.004933419521654815	False
ENSG00000122033	0.000999000999000999	0.33090631993739106	12	0.004933419521654815	True
ENSG00000281649	0.000999000999000999	0.2080218516388729	17	0.004933419521654815	True
ENSG00000036054	0.000999000999000999	0.46216949580362215	9	0.004933419521654815	True
ENSG00000036549	0.000999000999000999	0.4008743491502112	10	0.004933419521654815	True
ENSG00000037241	0.000999000999000999	0.161848460817533	5	0.004933419521654815	False
ENSG00000163463	0.000999000999000999	0.06183149671386325	9	0.004933419521654815	False
ENSG00000163466	0.000999000999000999	0.10492164754637667	17	0.004933419521654815	False
