release_candidate	srr	gse	species	platform	isoquant_cells	isoquant_transcripts_documented	isoquant_transcripts_registry	gene_counts_available	gene_counts_bytes	transcript_counts_available	transcript_counts_bytes	read_assignments_available	read_assignments_bytes	transcript_models_available	transcript_models_bytes	extended_annotation_available	extended_annotation_bytes	discovered_transcript_counts_available	discovered_transcript_counts_bytes	diu_available	diu_bytes	apa_available	apa_bytes	junction_available	junction_bytes	ase_available	ase_bytes	file_contract_status
scTHREAD_NAR_release_20260803	SRR16248599	GSE185554	mouse	ONT	1	False		False	0	False	0	False	0	False	0	False	0	False	0	False	0	False	0	False	0	False	0	membership_only
scTHREAD_NAR_release_20260803	SRR16248601	GSE185554	mouse	ONT	1	False		False	0	False	0	False	0	False	0	False	0	False	0	False	0	False	0	False	0	False	0	membership_only
scTHREAD_NAR_release_20260803	SRR16248602	GSE185554	mouse	ONT	1	False		False	0	False	0	False	0	False	0	False	0	False	0	False	0	False	0	False	0	False	0	membership_only
scTHREAD_NAR_release_20260803	SRR16248603	GSE185554	mouse	ONT	1	False		False	0	False	0	False	0	False	0	False	0	False	0	False	0	False	0	False	0	False	0	membership_only
scTHREAD_NAR_release_20260803	SRR16248606	GSE185554	mouse	ONT	1	False		False	0	False	0	False	0	False	0	False	0	False	0	False	0	False	0	False	0	False	0	membership_only
scTHREAD_NAR_release_20260803	SRR16248607	GSE185554	mouse	ONT	1	False		False	0	False	0	False	0	False	0	False	0	False	0	False	0	False	0	False	0	False	0	membership_only
scTHREAD_NAR_release_20260803	SRR16248608	GSE185554	mouse	ONT	1	False		False	0	False	0	False	0	False	0	False	0	False	0	False	0	False	0	False	0	False	0	membership_only
scTHREAD_NAR_release_20260803	SRR16248609	GSE185554	mouse	ONT	1	False		False	0	False	0	False	0	False	0	False	0	False	0	False	0	False	0	False	0	False	0	membership_only
scTHREAD_NAR_release_20260803	SRR16248610	GSE185554	mouse	ONT	1	False		False	0	False	0	False	0	False	0	False	0	False	0	False	0	False	0	False	0	False	0	membership_only
scTHREAD_NAR_release_20260803	SRR16248611	GSE185554	mouse	ONT	1	False		False	0	False	0	False	0	False	0	False	0	False	0	False	0	False	0	False	0	False	0	membership_only
scTHREAD_NAR_release_20260803	SRR16248612	GSE185554	mouse	ONT	1	False		False	0	False	0	False	0	False	0	False	0	False	0	False	0	False	0	False	0	False	0	membership_only
scTHREAD_NAR_release_20260803	SRR16248613	GSE185554	mouse	ONT	1	False		False	0	False	0	False	0	False	0	False	0	False	0	False	0	False	0	False	0	False	0	membership_only
scTHREAD_NAR_release_20260803	SRR21492154	GSE212945	human	ONT	6603	True	51834	True	842674	True	4777095	True	837359276	True	236899456	True	1375227237	True	2377623	True	624606	True	3283759	True	20054406	True	216798	isoquant_core_complete
