gse	n_reads	n_distinct_chains	n_molecules
GSE307660	56	12	1
GSE307660	56	13	1
GSE307660	56	20	1
GSE307660	57	2	27
GSE307660	57	12	1
GSE307660	58	1	23
GSE307660	58	2	26
GSE307660	58	9	3
GSE307660	59	1	22
GSE307660	59	8	3
GSE307660	59	10	1
GSE307660	59	12	3
GSE307660	59	16	1
GSE307660	60	2	19
GSE307660	60	17	1
GSE307660	61	2	17
GSE307660	61	9	1
GSE307660	61	10	1
GSE307660	61	16	1
GSE307660	62	1	16
GSE307660	62	2	17
GSE307660	62	3	17
GSE307660	62	17	1
GSE307660	63	1	6
GSE307660	63	2	14
GSE307660	63	12	3
GSE307660	63	13	1
GSE307660	64	1	11
GSE307660	64	4	8
GSE307660	65	1	8
GSE307660	65	3	15
GSE307660	65	14	1
GSE307660	66	2	16
GSE307660	67	1	9
GSE307660	67	12	2
GSE307660	67	13	1
GSE307660	68	1	10
GSE307660	68	2	16
GSE307660	68	11	1
GSE307660	68	13	2
GSE307660	68	14	1
GSE307660	68	17	1
GSE307660	69	2	16
GSE307660	69	12	1
GSE307660	70	9	2
GSE307660	70	13	3
GSE307660	70	19	1
GSE307660	71	12	1
GSE307660	71	18	1
GSE307660	72	10	1
GSE307660	73	9	2
GSE307660	73	11	1
GSE307660	73	13	1
GSE307660	73	21	1
GSE307660	74	3	9
GSE307660	74	10	1
GSE307660	75	15	1
GSE307660	76	22	1
GSE307660	77	5	2
GSE307660	77	14	1
GSE307660	77	17	1
GSE307660	77	23	1
GSE307660	78	21	1
GSE307660	79	1	3
GSE307660	79	5	4
GSE307660	79	11	1
GSE307660	79	15	1
GSE307660	80	2	4
GSE307660	80	6	4
GSE307660	80	17	1
GSE307660	81	17	1
GSE307660	82	1	4
GSE307660	82	2	8
GSE307660	82	3	8
GSE307660	82	6	3
GSE307660	83	3	8
GSE307660	83	15	1
GSE307660	83	26	1
GSE307660	84	1	3
GSE307660	84	3	4
GSE307660	84	4	3
GSE307660	85	15	1
GSE307660	85	27	1
GSE307660	87	4	4
GSE307660	87	13	1
GSE307660	88	14	1
GSE307660	89	4	2
GSE307660	89	38	1
GSE307660	90	1	1
GSE307660	90	4	2
GSE307660	90	11	1
GSE307660	90	23	1
GSE307660	91	7	1
GSE307660	92	7	2
GSE307660	92	9	3
GSE307660	93	41	1
GSE307660	94	1	1
GSE307660	94	10	1
GSE307660	94	14	1
GSE307660	95	3	6
GSE307660	95	21	1
GSE307660	97	13	1
GSE307660	97	15	1
GSE307660	97	21	1
GSE307660	98	2	5
GSE307660	99	3	2
GSE307660	99	11	1
GSE307660	99	24	1
GSE307660	101	2	3
GSE307660	102	3	2
GSE307660	104	1	3
GSE307660	106	20	1
GSE307660	107	13	1
GSE307660	107	27	1
GSE307660	108	1	1
GSE307660	108	14	1
GSE307660	109	16	1
GSE307660	110	15	1
GSE307660	110	17	1
GSE307660	111	2	1
GSE307660	113	14	1
GSE307660	114	38	1
GSE307660	115	4	1
GSE307660	115	40	1
GSE307660	116	12	1
GSE307660	116	17	2
GSE307660	117	3	2
GSE307660	117	22	1
GSE307660	119	2	3
GSE307660	121	15	1
GSE307660	121	26	1
GSE307660	123	17	1
GSE307660	125	7	2
GSE307660	127	18	1
GSE307660	128	24	1
GSE307660	129	14	1
GSE307660	130	21	1
GSE307660	131	3	3
GSE307660	131	30	1
GSE307660	132	16	1
GSE307660	132	18	2
GSE307660	133	31	1
GSE307660	133	32	1
GSE307660	135	14	1
GSE307660	138	29	1
GSE307660	139	6	2
GSE307660	139	66	1
GSE307660	140	6	1
GSE307660	140	17	1
GSE307660	141	5	2
GSE307660	141	15	1
GSE307660	141	23	1
GSE307660	142	17	1
GSE307660	144	19	1
GSE307660	145	13	1
GSE307660	148	17	1
GSE307660	151	15	1
GSE307660	156	4	3
GSE307660	160	2	2
GSE307660	160	21	1
GSE307660	165	17	1
GSE307660	168	20	1
GSE307660	171	14	1
GSE307660	172	11	1
GSE307660	172	21	1
GSE307660	174	34	1
GSE307660	179	15	1
GSE307660	183	5	1
GSE307660	183	14	1
GSE307660	185	10	1
GSE307660	186	1	1
GSE307660	188	23	1
GSE307660	190	17	1
GSE307660	190	21	1
GSE307660	191	17	1
GSE307660	192	16	1
GSE307660	195	40	1
GSE307660	197	26	1
GSE307660	199	3	2
GSE307660	206	40	1
GSE307660	213	8	1
GSE307660	213	22	1
GSE307660	218	21	1
GSE307660	221	48	1
GSE307660	225	26	1
GSE307660	227	41	1
GSE307660	230	2	2
GSE307660	234	54	1
GSE307660	240	21	1
GSE307660	250	39	1
GSE307660	252	17	1
GSE307660	253	24	1
GSE307660	268	35	1
GSE307660	285	29	1
GSE307660	294	34	1
GSE307660	306	21	1
GSE307660	325	73	1
GSE307660	328	77	1
GSE307660	345	51	1
GSE307660	353	42	1
GSE307660	356	16	1
GSE307660	379	25	1
GSE307660	379	51	1
GSE307660	382	25	1
GSE307660	400	52	1
GSE307660	414	11	1
GSE307660	418	92	1
GSE307660	456	37	1
GSE307660	471	113	1
GSE307660	494	23	1
GSE307660	507	43	1
GSE307660	509	97	1
GSE307660	513	68	1
GSE307660	514	111	1
GSE307660	532	91	1
GSE307660	553	40	1
GSE307660	556	68	1
GSE307660	579	41	1
GSE307660	588	98	1
GSE307660	615	55	1
GSE307660	616	84	1
GSE307660	621	89	1
GSE307660	624	43	1
GSE307660	626	80	1
GSE307660	700	62	1
GSE307660	710	40	1
GSE307660	881	106	1
GSE307660	988	25	1
GSE307660	1046	61	1
GSE307660	1152	19	1
GSE307660	1160	196	1
GSE307660	1182	11	1
GSE307660	1185	109	1
GSE307660	1201	56	1
GSE307660	1487	54	1
GSE307660	1563	80	1
GSE307660	2349	47	1
GSE307660	2372	47	1
GSE307660	2401	93	1
GSE307660	2434	92	1
GSE307660	2451	93	1
GSE307660	2694	107	1
GSE307660	2703	108	1
GSE307660	3159	112	1
GSE307660	3169	50	1
GSE307660	3217	16	1
GSE307660	3436	85	1
GSE307660	3913	126	1
GSE307660	4607	128	1
GSE307660	5958	79	1
GSE307660	5967	153	1
GSE307660	6010	163	1
GSE307660	6131	101	1
GSE307660	6170	52	1
GSE307660	7317	104	1
GSE307660	8071	270	1
GSE307660	9853	162	1
GSE307660	10303	209	1
GSE307660	11233	195	1
GSE307660	11402	191	1
GSE307660	11815	62	1
GSE307660	12453	108	1
GSE307660	12644	99	1
GSE307660	13687	148	1
GSE307660	14540	306	1
GSE307660	16060	381	1
GSE307660	17079	122	1
GSE307660	17225	565	1
GSE307660	18817	101	1
GSE307660	22591	321	1
GSE307660	24326	174	1
GSE307660	24831	210	1
GSE307660	10	9	90
GSE307660	10	10	37
GSE307660	11	11	12
GSE307660	12	10	40
GSE307660	12	11	35
GSE307660	12	12	8
GSE307660	14	12	11
GSE307660	15	10	41
GSE307660	15	12	16
GSE307660	15	13	9
GSE307660	15	14	9
GSE307660	17	14	4
GSE307660	18	12	9
GSE307660	18	13	5
GSE307660	18	14	7
GSE307660	19	12	10
GSE307660	21	11	7
GSE307660	21	14	5
