gene	n_donors	n_studies	n_donors_imbalanced	pooled_depth	pooled_ratio	study_baseline	pooled_deviation	pval	qval	sig_imbalanced	recurrent
ENSG00000272505	15.0	6.0	11.0	636.0	0.5440251572327044	0.4894391012170786	0.05458605601562577	0.005890230837466995	0.009767883467060883	False	True
COQ10A	19.0	9.0	11.0	2103.0	0.5225867807893485	0.4926274896780189	0.02995929111132961	0.005994652623156734	0.009930924414231091	False	True
BRK1	22.0	10.0	11.0	26674.0	0.4945639949014021	0.48615987580725567	0.008404119094146456	0.006028936344782212	0.009983741406569288	False	True
ENSG00000253853	23.0	9.0	11.0	2311.0	0.49286023366508	0.4645839162587041	0.028276317406375928	0.006420558917441045	0.010588672451009683	False	True
TNNI2	11.0	2.0	11.0	1146.0	0.4895287958115183	0.44991562877988683	0.03961316703163148	0.007026691501315821	0.011516719052117201	False	True
NMI	22.0	8.0	11.0	5507.0	0.4730343199564191	0.49116551127379354	-0.01813119131737445	0.007114829379970496	0.01165147902357404	False	True
LNPK	26.0	9.0	11.0	18293.0	0.5034166074454709	0.49360987783129223	0.009806729614178666	0.00797872567472854	0.012974228394105277	False	True
B3GNT2	21.0	9.0	11.0	3949.0	0.5127880476069892	0.49181140526463335	0.0209766423423558	0.008370624728512372	0.013568448324117945	False	True
BRINP1	23.0	6.0	11.0	4107.0	0.5120525931336742	0.49151006239276435	0.020542530740909892	0.008454668371539843	0.013694000741175896	False	True
ENSG00000275390	17.0	7.0	11.0	1050.0	0.4523809523809524	0.4925845731414894	-0.04020362076053702	0.009166558376602612	0.014777318353250322	False	True
ANKRD2	12.0	4.0	11.0	3472.0	0.5195852534562212	0.49749965172540306	0.02208560173081814	0.00924760240532416	0.014897056918763604	False	True
LRFN3	17.0	12.0	11.0	1162.0	0.4483648881239243	0.48633540776924783	-0.03797051964532355	0.009607227003056863	0.015433851366224669	False	True
SPON1-AS1	18.0	8.0	11.0	1292.0	0.4481424148606811	0.48406170300722823	-0.0359192881465471	0.00978013301303648	0.015693428686484535	False	True
ENSG00000231104	26.0	7.0	11.0	2046.0	0.5019550342130987	0.473659245576285	0.0282957886368137	0.010366713289017476	0.016568585122109732	False	True
